"title","tokens","n","total","tf","idf","tf_idf"
"Regional Manager","management",31,3083,0.0100551410963347,0.547311166114104,0.00550329099887682
"Guest Experience Leader (Store Supervisor)","leader",30,2724,0.0110132158590308,2.14624778872754,0.023637090184224
"Marketing Manager","lead",30,10011,0.00299670362601139,1.58216498828802,0.00474127955735097
"Business Analyst","management",29,4846,0.00598431696244325,0.547311166114104,0.00327528349511123
"Production Manager","management",29,5614,0.00516565728535803,0.547311166114104,0.00282722191259512
"Restaurant Manager","management",29,5236,0.00553857906799083,0.547311166114104,0.00303132616831723
"Account Manager","management",28,9359,0.00299177262528048,0.547311166114104,0.00163743056429051
"General Manager (GM)","management",28,4154,0.00674049109292248,0.547311166114104,0.00368914604024914
"HR Generalist","management",28,4827,0.00580070437124508,0.547311166114104,0.00317479027370933
"Pricing Data Analyst","management",28,1630,0.0171779141104294,0.547311166114104,0.00940166420318707
"Shift Lead","manager",28,4182,0.00669536107125777,1.05749719919632,0.00708032558046313
"CASH MANAGEMENT SUPPORT SPECIALIST I","management",27,1233,0.0218978102189781,0.547311166114104,0.0119849160462943
"Project Manager","lead",27,24995,0.00108021604320864,1.58216498828802,0.00170908000335173
"Quality Control Specialist","control",27,1656,0.016304347826087,1.76157345028845,0.028721306254703
"Retail Store Manager","management",27,3185,0.00847723704866562,0.547311166114104,0.00463968649453087
"Assistant Property Manager","management",26,2798,0.00929235167977126,0.547311166114104,0.00508580783379797
"Construction Project Manager","management",26,2350,0.011063829787234,0.547311166114104,0.00605535758253903
"Director of Operations","management",26,2258,0.0115146147032772,0.547311166114104,0.00630207720060528
"Human Resources Manager","manager",26,6219,0.00418073645280592,1.05749719919632,0.0044211170894202
"Proposal Manager","management",26,2637,0.00985968904057641,0.547311166114104,0.00539631790632033
"Shift Manager","manager",26,3032,0.00857519788918206,1.05749719919632,0.00906824775036418
"Shift Supervisor","manager",26,3736,0.0069593147751606,1.05749719919632,0.00735945588305787
"Warehouse Supervisor","management",26,8098,0.00321066930106199,0.547311166114104,0.00175723515917099
"Production Manager","manager",25,5614,0.0044531528322052,1.05749719919632,0.00470919664765014
"Project Manager","control",25,24995,0.001000200040008,1.76157345028845,0.00176192583545554
"Project Manager","leadership",25,24995,0.001000200040008,1.49578409994796,0.00149608331661128
"Quality Assurance and Task Management Compliance Officer","management",25,1131,0.02210433244916,0.547311166114104,0.0120979479689236
"Warehouse Supervisor","supervisor",25,8098,0.00308718202025191,2.01390418576636,0.00621728879280799
"Assistant Store Manager","management",24,5141,0.00466835246061078,0.547311166114104,0.00255504142904853
"Kitchen Manager","manager",24,2078,0.0115495668912416,1.05749719919632,0.0122136346394185
"Maintenance Supervisor","management",24,6183,0.00388161086851043,0.547311166114104,0.00212444897084563
"Plant Manager","management",24,2654,0.00904295403165034,0.547311166114104,0.00494930971617879
"Sr. Project Manager","management",24,1926,0.0124610591900312,0.547311166114104,0.00682007683631283
"Dental Office Manager","manager",23,2385,0.00964360587002096,1.05749719919632,0.0101980861977003
"Product Manager","management",23,3874,0.0059370160041301,0.547311166114104,0.00324939515245854
"Restaurant General Manager","management",23,3699,0.00621789672884563,0.547311166114104,0.00340312430944158
"Retail Store Manager","manager",23,3185,0.00722135007849294,1.05749719919632,0.00763655748242237
"Senior Project Manager","management",23,2393,0.00961136648558295,0.547311166114104,0.00526040819917443
"Accountant","management",22,5398,0.00407558354946276,0.547311166114104,0.00223061238505193
"Administrative Assistant","manage",22,16551,0.00132922482025255,1.32034111832166,0.00175503018567316
"Administrative Assistant","manager",22,16551,0.00132922482025255,1.05749719919632,0.0014056515245193
"Dental Office Manager","management",22,2385,0.00922431865828092,0.547311166114104,0.00504857260147182
"Operations Manager","manage",22,10187,0.00215961519583783,1.32034111832166,0.00285142874281696
"Quality Manager","management",22,3665,0.00600272851296044,0.547311166114104,0.00328536034229476
"Risk Director","management",22,509,0.0432220039292731,0.547311166114104,0.0236558853723189
"Subway Manager","management",22,3229,0.00681325487767111,0.547311166114104,0.00372897047213078
"Technical Project Manager","management",22,3756,0.00585729499467519,0.547311166114104,0.00320576295380998
"Assistant Manager","manage",21,13661,0.00153722275089671,1.32034111832166,0.00202965840602846
"Chief Financial Officer (CFO)","management",21,1598,0.0131414267834793,0.547311166114104,0.00719244961726921
"Civil Engineer","management",21,1414,0.0148514851485149,0.547311166114104,0.00812838365515997
"Executive Assistant","management",21,3893,0.00539429745697406,0.547311166114104,0.00295235923154282
"General Manager","lead",21,25342,0.00082866387814695,1.58216498828802,0.00131108297506307
"Manager Revenue Cycle Denial Management","management",21,1086,0.0193370165745856,0.547311166114104,0.0105833650906042
"Quality Engineer","control",21,5529,0.00379815518176886,1.76157345028845,0.00669072932827952
"Restaurant Gen Mgr","manager",21,449,0.0467706013363029,1.05749719919632,0.0494597799178677
"Senior Financial Analyst","management",21,3656,0.00574398249452954,0.547311166114104,0.00314374575721997
"Systems Administrator","management",21,5154,0.00407450523864959,0.547311166114104,0.00223002221350334
"Team Leader","leader",21,3304,0.00635593220338983,2.14624778872754,0.0136414054368276
"Assistant Branch Manager","manager",20,3781,0.00528960592435863,1.05749719919632,0.00559374344986149
"Assistant Manager","leadership",20,13661,0.00146402166752068,1.49578409994796,0.00218986033225674
"Business Development Manager","management",20,5556,0.00359971202303816,0.547311166114104,0.00197016258500398
"Community Manager","manage",20,8228,0.00243072435585805,1.32034111832166,0.0032093853143453
"Front Office Manager","manager",20,4248,0.00470809792843691,1.05749719919632,0.00497880037286401
"Kontoor Brands - Sr. Manager, Service Assurance & Governance (Greensboro, NC)","management",20,1516,0.0131926121372032,0.547311166114104,0.00722046393290375
"Maintenance Manager","manager",20,4274,0.00467945718296678,1.05749719919632,0.00494851286474644
"Manager in Training (MIT)","manager",20,2185,0.0091533180778032,1.05749719919632,0.00967960823062989
"Org & Talent Solutions Specialist","management",20,1026,0.0194931773879142,0.547311166114104,0.0106688336474484
"Patient Care Technician - PCT","supervisor",20,2732,0.00732064421669107,2.01390418576636,0.0147430760305005
"Pest Control Technician","control",20,3062,0.00653167864141084,1.76157345028845,0.0115060316805255
"Project / Change Manager","management",20,595,0.0336134453781513,0.547311166114104,0.0183970139870287
"Purchasing Manager","management",20,3261,0.00613308800981294,0.547311166114104,0.00335670755053115
"Regional Operations Manager","manage",20,2224,0.00899280575539568,1.32034111832166,0.0118735712079286
"Senior Accountant","management",20,5710,0.00350262697022767,0.547311166114104,0.00191702685153802
"ServiceNow Developer","management",20,1377,0.0145243282498184,0.547311166114104,0.00794932703143216
"Subway Manager","control",20,3229,0.0061938680706101,1.76157345028845,0.0109109535477761
"Subway Manager","manager",20,3229,0.0061938680706101,1.05749719919632,0.00654999813686166
"AWM - T&O Business Management Portfolio Manager - VP","management",19,608,0.03125,0.547311166114104,0.0171034739410658
"Chief Financial Officer","management",19,1603,0.0118527760449158,0.547311166114104,0.00648715667883218
"Controller","manage",19,6595,0.00288097043214556,1.32034111832166,0.0038038637222307
"Facilities Manager","management",19,2113,0.0089919545669664,0.547311166114104,0.00492139713969143
"Facilities Manager","manager",19,2113,0.0089919545669664,1.05749719919632,0.00950896676986748
"Facility Manager","management",19,2346,0.00809889173060529,0.547311166114104,0.00443261387730946
"Office Administrator","administrator",19,5254,0.00361629234868672,3.20301296746015,0.0115830312869705
"Product Manager","manager",19,3874,0.00490449148167269,1.05749719919632,0.00518648600535106
"Quality Engineer","management",19,5529,0.00343642611683849,0.547311166114104,0.00188079438527184
"Senior Management Consultant - Project Management and Call Center Expert","management",19,623,0.0304975922953451,0.547311166114104,0.0166916728028379
"Systems Administrator","administrator",19,5154,0.00368645712068296,3.20301296746015,0.0118077699615333
"Wealth Management & Abbott Downing Control Manager","management",19,946,0.0200845665961945,0.547311166114104,0.0109925075646596
"Branch Manager Trainee","manager",18,1280,0.0140625,1.05749719919632,0.0148710543636982
"Engineering Manager","management",18,2455,0.00733197556008147,0.547311166114104,0.0040128720937083
"Human Resources Manager","administration",18,6219,0.00289435600578871,1.99169019129548,0.00576466046684655
"Operations Supervisor","management",18,4921,0.00365779313147734,0.547311166114104,0.00200195102419303
"Program Manager","lead",18,7089,0.00253914515446466,1.58216498828802,0.00401734656357517
"Program Manager","manage",18,7089,0.00253914515446466,1.32034111832166,0.00335253775282689
"Purchasing Manager","manager",18,3261,0.00551977920883165,1.05749719919632,0.00583715105352152
"Quality Assurance Manager","manager",18,4509,0.00399201596806387,1.05749719919632,0.00422154570537451
"Quality Control Inspector","control",18,3016,0.00596816976127321,1.76157345028845,0.0105133693982732
"Shift Supervisor","management",18,3736,0.00481798715203426,0.547311166114104,0.00263693816650264
"Team Member","manager",18,2380,0.00756302521008403,1.05749719919632,0.00799787797711499
"Account Manager","manage",17,9359,0.00181643337963458,1.32034111832166,0.0023983116798235
"Enterprise Data Administrator","management",17,1053,0.0161443494776828,0.547311166114104,0.00883598273878421
"General Manager","leader",17,25342,0.000670823139452293,2.14624778872754,0.00143975267967675
"Human Resource Manager","management",17,2962,0.00573936529372046,0.547311166114104,0.00314121871166096
"IT Manager","management",17,3312,0.00513285024154589,0.547311166114104,0.00280926625118955
"Kitchen Manager","management",17,2078,0.00818094321462945,0.547311166114104,0.00447752157071212
"Office Administrator","manager",17,5254,0.00323562999619338,1.05749719919632,0.00342166965861008
"Operations Manager","lead",17,10187,0.00166879356042014,1.58216498828802,0.00264030674397726
"Operations Supervisor","supervisor",17,4921,0.00345458240195082,2.01390418576636,0.00695719795936358
"Retail Co-Manager","manager",17,618,0.0275080906148867,1.05749719919632,0.0290897287804812
"Risk Analyst - Risk Management","management",17,532,0.0319548872180451,0.547311166114104,0.017489266586353
"Staff Accountant","manage",17,11265,0.00150909897913893,1.32034111832166,0.00199252543377436
"Transformation Project Manager - IT PMO-Delivery - Full Time - 8 Hour - Days","management",17,1292,0.0131578947368421,0.547311166114104,0.00720146271202769
"Administrative Assistant","administration",16,16551,0.000966708960183675,1.99169019129548,0.00192538475383528
"Area Director of Revenue Management","management",16,667,0.0239880059970015,0.547311166114104,0.013128903534971
"Assistant Community Manager","manager",16,1491,0.0107310529845741,1.05749719919632,0.0113480584756144
"Assistant Project Manager","management",16,2342,0.00683176771989752,0.547311166114104,0.00373910275739781
"Certified Dietary Manager","manager",16,1193,0.0134115674769489,1.05749719919632,0.0141826950437058
"Controls Engineer","control",16,1846,0.00866738894907909,1.76157345028845,0.0152682422560212
"District Manager","manager",16,5225,0.0030622009569378,1.05749719919632,0.003238268935338
"Emergency Management Specialist","management",16,443,0.036117381489842,0.547311166114104,0.0197674461801934
"Finance Manager","manager",16,2787,0.00574094007893793,1.05749719919632,0.00607102805423073
"HR Consultant","management",16,1174,0.0136286201022147,0.547311166114104,0.00745909596066923
"Human Resources Generalist","administration",16,5342,0.00299513290902284,1.99169019129548,0.00596537683652709
"Manager-Operations Transition","management",16,1344,0.0119047619047619,0.547311166114104,0.006515609120406
"Manager Operations Business","management",16,1139,0.0140474100087796,0.547311166114104,0.00768830435278812
"Office Manager","manage",16,8392,0.00190657769304099,1.32034111832166,0.00251733292339686
"Operations Admin I - III (Senior)","management",16,1046,0.0152963671128107,0.547311166114104,0.00837187252182187
"Payroll Specialist","management",16,4214,0.003796867584243,0.547311166114104,0.00207806802511288
"Product Marketing Manager","management",16,2596,0.0061633281972265,0.547311166114104,0.00337325834276798
"Production Supervisor","manager",16,10124,0.00158040300276571,1.05749719919632,0.00167127174902618
"Program Management Manager","management",16,545,0.0293577981651376,0.547311166114104,0.016067850748304
"Project Engineer","management",16,1749,0.00914808461978273,0.547311166114104,0.00500684886096379
"Regional Manager","manager",16,3083,0.00518975024326954,1.05749719919632,0.00548814634678594
"Sr Change Mgr","management",16,1104,0.0144927536231884,0.547311166114104,0.00793204588571166
"Veterinary Hospital Manager","management",16,1285,0.0124513618677043,0.547311166114104,0.00681476938352192
"Warehouse Supervisor","leadership",16,8098,0.00197579649296122,1.49578409994796,0.00295536497890435
"Administrative Resident","administration",15,734,0.0204359673024523,1.99169019129548,0.0407021156259295
"Assistant Manager","control",15,13661,0.00109801625064051,1.76157345028845,0.00193423627511359
"Assistant Project Manager","manager",15,2342,0.00640478223740393,1.05749719919632,0.00677303927751696
"Bookkeeper","management",15,3197,0.00469189865498905,0.547311166114104,0.00256792852415126
"Business Development Manager","manager",15,5556,0.00269978401727862,1.05749719919632,0.00285501403670711
"Customer Service Manager","management",15,2429,0.00617538081515027,0.547311166114104,0.00337985487513856
"Front Desk Supervisor","manager",15,1969,0.00761808024377857,1.05749719919632,0.00805609852104862
"General Manager (GM)","manager",15,4154,0.00361097737120847,1.05749719919632,0.00381859845641423
"Housekeeper","supervisor",15,5665,0.00264783759929391,2.01390418576636,0.00533249122444757
"Housekeeping Manager","management",15,3499,0.00428693912546442,0.547311166114104,0.00234628965181811
"Human Resources Manager","leadership",15,6219,0.00241196333815726,1.49578409994796,0.00360777641087304
"Learning & Development Specialist","management",15,699,0.0214592274678112,0.547311166114104,0.0117448748093155
"Maintenance Manager","management",15,4274,0.00350959288722508,0.547311166114104,0.00192083937569293
"Maintenance Supervisor","manager",15,6183,0.00242600679281902,1.05749719919632,0.00256549538863735
"Network Engineer","management",15,3545,0.00423131170662906,0.547311166114104,0.00231584414434741
"Operations Manager","leadership",15,10187,0.00147246490625307,1.49578409994796,0.00220248959450471
